Thread Size,Cable Type,Number of Lamps,Temperature Range,Dimmable,Box Type,Head Type,Enclosure,Wall Thickness,Beam Type,Packaging Type,Minimum Operating Temperature,Gauge Thickness,Color Temperature,Nominal Size,Hub Size,Humidity Range,Tensile Strength,Overall Length,Total Harmonic Distortion,Series,Duct Diameter,Housing Width,Flange Width,Price,Voltage Rating,Fixture Type,Hex Size,Motion Sensing,Gauge,Light Color,Low Lead Compliance,Flange Thickness,Rod Size,Sensor Type,Bolt Hole Size,Fan Motor Wattage,Strands,Average Life,Mounting Type,Element Material,url,On Hand,Current/Amps,Category,Insulation Material,Housing Material,Grille Material,Nipple Type,Slot Size,Power Rating,Insulated/Non-Insulated,Connection Type,Description,Flexibility,Operation Type,Number of Pieces,Diameter,Cable Tap,Humidity Sensing,Model,Cord Diameter,Details,Connector Type,ELEMENT MATERIAL,Finish,Abrasive Material,Liner Material,Amperage Rating,Shape,Form,Dielectric Strength,Blow-Off Size,Power Factor,Conduit Size,Capacity,Number of Knockouts,Adhesive Material,Hub Diameter,Timing Range,Cutout,Cord Size,Feed Type,BODY MATERIAL,Fixture Wattage,Pressure Rating,Short Circuit Current Rating,Tap Quantity,Drive Type,Flow Path,Mounting Orientation,Schedule Rating,Max. Pressure (PSI),Stages Heat,Composition,Number of Heads,Length,Element Size,Tongue Size,Supplier,Actuator,Hole Size,Grille Length,Media,Electrical Ratings,Start Type,Container Size,Specifications,Number of Hubs,Number of Gangs,Style,Orientation,Number of Cables,Number of Outlets,Cable Openings,Conductor Material,Sones,Specifications Met,Ballast Factor,Phase,Number of Poles,Head Size,Bolt Circle Diameter,Number of Holes,Angle,Construction,Conductor Type,Flow Rate,Terminal Type,Operation Mode,Supplemental Files,Lamp Base Type,KSCdirect Part #,Container Type,Body Material,Depth,Length Through Hub,Flammability Rating,Radius,Voltage,Lamp Wattage,Peak Surge Current,Insulation,Diameter - Thread Size,Width,Jacket Color,Control,Housing Finish,Flash Point,Ball Material,Fan Switching,Port Type,Bundle Diameter,Number of Ports,Tube Size,Roll Length,Manufacturer,Point Size,Family,Lamp Base,Point Type,TYPE,Number of Jaws,Dimensions,Plug Type,Roll Width,Drive Size,Specific Gravity,Type,Outside Diameter,Max Pressure,Knockout Size,Stud Size,Bar Length,Operation,UPC,Pipe Size,Standard Pack,Wire Type,Action,Module Type,Spring Type,Grit,Contact Configuration,Stem & Pin Material,Stages Cool,Min. Pressure (PSI),Material Type,Method of Manufacture,Resistance,AC Cable Size,Actuator Type,Width (In.),Air Flow Rate,Core Diameter,Ballast Type,Trade Size,NEMA Rating,Contact Form,Frequency Rating,Legend Color,Ceiling Opening,Number of Stages,Recommended Torque,Terminal Designations,Disc Material,Maximum Steady Load,THREAD TYPE,Pressure Class,Sensitivity,Bar Width,Coating Thickness,Domestic/Import,Incandescent Equivalent,Measurement System,Mounting,Shell Style,Grille Width,MFG Part #,Time Setting,Lamp Finish,Load Capacity,Contact Rating,Material,Thermostat Type,Class,Lighting Technology,Odor/Scent,Pipe Size NPT,Color Rendering Index (CRI),Nominal Discharge Current,Inlet to Outlet Length,Lamp Type,Operating Cycles,Number of Wires,Cord Length,Tab Size,Display Type,Thread Type,Designation,Tungsten Rating,Softgoods Material,Slot Spacing,Jacket Material,Trip Type,Environmental Conditions,End Style,Number of Conductors,Horsepower,Adhesion Strength,Cover Type,Barrel Type,Depth (In.),Grade,Hand Wheel Diameter,Minimum Starting Temperature,Power Source,Orifice Size,Top to Inlet Center,Tap Size,AC/DC,Conductor Size,Lock Mechanism,Light Output,Cable Size,Size,Housing Height,Wire Size,Actuation Type,Maximum Operating Temperature,Enclosure Type,Receptacle Type,Operational Mode,Fitting/Connector Type,Body Type,Color,Trim Material,Lumens,Seal Material,Suitable For Use With,Coil Voltage,Height (In.),Main/Run Size,Title,Control Range,Staple Size,Number of Bolt Holes,Housing Length,Backing Material,Ballast Load,Insulated,Wattage,Legend,Thickness,Insulation Type,Average Ft,THREAD SIZE,Bend Radius,Cleat Type,Differential,Inside Diameter,End Connection Type,Barrel Size,image,Height,Hub Type,ELEMENT SIZE,Run Size,Cable Entry Size,Temperature Rating,Working Pressure,Connection,Interrupt Rating
,,,,,,,,,,,,,,1-1/2 x 1-1/4 in,,,,,,,,,,$9.22,,,2.05 in,,,,,,,,,,,,,,https://kscdirect.com/item/BUSH%2B304%2B1-1%252F2X1-1%252F4/Merit%2BBrass%2BCompany_1-1%252F2%2BX%2B1-1%252F4%2B150%2523%2BTYPE%2B304%2BSS%2BBUSHING,87,,Piping & Fittings,,,,,,,,,1-1/2 X 1-1/4 150# TYPE 304 SS BUSHING,,,,,,,,,"Description
Merit Brass Pipe Bushing, Hex Head, Bushing Fitting/Connector, 1-1/2 x 1-1/4 in Nominal, MNPT x FNPT End Style, 2.05 in Hex, 1-1/2 in Length, 150 lb Pressure Class, 304/304L Stainless Steel, 100 deg F, Domestic/Import: Import
Standards/Approval:
PROP65: This product can expose you to lead, which is known to the State of California to cause cancer and birth defects or other reproductive harm. For more information go to www.P65Warnings.ca.gov.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1-1/2 in,,,Merit Brass Company,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://vdam.kdsi.net/digital_asset_manager/file_download.php?vi=5766933,,BUSH 304 1-1/2X1-1/4,,,,,,,,,,,,,,,,,,,,,,,,Merit Brass Company,,,,,,,,,,,,Hex Head,,,,,,,671404095680,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,150 lb,,,,Import,,,,,,K414-2420,,,,,304/304L Stainless Steel,,,,,,,,,,,,,,,,,,,,,,,MNPT x FNPT,,,,,,,,,,,,,,,,,,,,,,,,,,,Bushing,,,,,,,,,,1-1/2 X 1-1/4 150# TYPE 304 SS BUSHING,,,,,,,,,,,,,,,,,,,,https://vdam.kdsi.net/digital_asset_manager/image_resize.php?cid=3&ic=BUSH%20304%201-1%2F2X1-1%2F4&mdx=300,,,,,,100 deg F,,,
,,,,,,,,,,,,,,3/4 x 1/2 in,,,,,,FIG 383,,,,$2.37,,,,,,,,,,,,,,,,,https://kscdirect.com/item/BUSH%2BGAL%2B3%252F4X1%252F2/ASC%2BEngineered%2BSolutions_3%252F4%2BX%2B1%252F2%2BGALV%2BSTEEL%2BHEX%2BBUSHING,287,,Piping & Fittings,,,,,,,,,3/4 X 1/2 GALV STEEL HEX BUSHING,,,,,,,,,"Description
Anvil® Pipe Bushing, Hex Head, Series: FIG 383, Bushing Fitting/Connector, 3/4 x 1/2 in Nominal, MNPT x FNPT End Style, 150/300 lb Pressure Class, Cast Iron, Galvanized, Domestic/Import: Domestic
Features:
Small Steel Fittings to ASME C1215
Standards/Approval:
ASME B16.3
cULus Listed
FM Approved
NSF/ANSI 61",,,Galvanized,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ASC Engineered Solutions,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://vdam.kdsi.net/digital_asset_manager/file_download.php?vi=4151317,,BUSH GAL 3/4X1/2,,,,,,,,,,,,,,,,,,,,,,,,ASC Engineered Solutions,,,,,,,,,,,,Hex Head,,,,,,,69029134771,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,150/300 lb,,,,Domestic,,,,,,0319905600,,,,,Cast Iron,,,,,,,,,,,,,,,,,,,,,,,MNPT x FNPT,,,,,,,,,,,,,,,,,,,,,,,,,,,Bushing,,,,,,,,,,3/4 X 1/2 GALV STEEL HEX BUSHING,,,,,,,,,,,,,,,,,,,,https://vdam.kdsi.net/digital_asset_manager/image_resize.php?cid=3&ic=BUSH%20GAL%203%2F4X1%2F2&mdx=300,,,,,,,,,
,,,,,,,,,,,,,,3/8 in,,,,,,,,,,$2.99,,,,,,,,,,,,,,,,,https://kscdirect.com/item/90%2B304%2B3%252F8/Merit%2BBrass%2BCompany_3%252F8%2B150%2523%2BTYPE%2B304%2BSS%2B90%2BELL,254,,Piping & Fittings,,,,,,,,,3/8 150# TYPE 304 SS 90 ELL,,,,,,,,,"Description
Merit Brass Pipe Elbow, Banded, Fitting/Connector Type: 90 deg Elbow, 3/8 in Nominal, FNPT, 150 lb, 304/304L Stainless Steel, 100 deg F, 0.93 in OD, Import
Standards/Approval:
PROP65: This product can expose you to lead, which is known to the State of California to cause cancer and birth defects or other reproductive harm. For more information go to www.P65Warnings.ca.gov.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Merit Brass Company,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://vdam.kdsi.net/digital_asset_manager/file_download.php?vi=5772369,,90 304 3/8,,,,,,,,,,,,,,,,,,,,,,,,Merit Brass Company,,,,,,,0.93 in OD,,,,,Banded,,,,,,,671404094089,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,150 lb,,,,Import,,,,,,K401-06,,,,,304/304L Stainless Steel,,,,,,,,,,,,,,,,,,,,,,,FNPT,,,,,,,,,,,,,,,,,,,,,,,,,,,90 deg Elbow,,,,,,,,,,3/8 150# TYPE 304 SS 90 ELL,,,,,,,,,,,,,,,,,,,,https://vdam.kdsi.net/digital_asset_manager/image_resize.php?cid=3&ic=90%20304%203%2F8&mdx=300,,,,,,100 deg F,,,
,,,,,,,,,,,,,,1-1/2 in,,,,,,,,,,$6.99,,,,,,,,,,,,,,,,,https://kscdirect.com/item/NIP%2B304%2B1-1%252F2X3/Merit%2BBrass%2BCompany_1-1%252F2%2BX%2B3%2BSCH%2B40%2BTYPE%2B304%2BSS%2BNIPPLE,179,,Piping & Fittings,,,,,,,,,1-1/2 X 3 SCH 40 TYPE 304 SS NIPPLE,,,,,,,,,"Description
Merit Brass Pipe Nipple, 1-1/2 in Nominal, MNPT, 3 in Length, SCH 40/STD, Welded, 304L Stainless Steel, Domestic
Standards/Approval:
ANSI B1.20.1
ASTM A312/SA312/A733",,,,,,,,,,,,,,,,,,,,,,,,,,,,,SCH 40/STD,,,,,3 in,,,Merit Brass Company,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NIP 304 1-1/2X3,,,,,,,,,,,,,,,,,,,,,,,,Merit Brass Company,,,,,,,,,,,,,,,,,,,671404027827,,,,,,,,,,,,,Welded,,,,,,,,,,,,,,,,,,,,,,,,Domestic,,,,,,4024-300,,,,,304L Stainless Steel,,,,,,,,,,,,,,,,,,,,,,,MNPT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1-1/2 X 3 SCH 40 TYPE 304 SS NIPPLE,,,,,,,,,,,,,,,,,,,,https://vdam.kdsi.net/digital_asset_manager/image_resize.php?cid=3&ic=NIP%20304%201-1%2F2X3&mdx=300,,,,,,,,,
,,,,,,,,,,,,,,1 in,,,,,,,,,,$2.65,,,,,,,,,,,,,,,,,https://kscdirect.com/item/COUP%2BHALF%2B304%2B1/Merit%2BBrass%2BCompany_1%2BTYPE%2B304%2BSS%2BHALF%2BCOUPLING,355,,Piping & Fittings,,,,,,,,,1 TYPE 304 SS HALF COUPLING,,,,,,,,,"Description
Merit Brass Half Coupling, KI Pattern, Fitting/Connector Type: Coupling, 1 in Nominal, FNPT, 0.88 in Length, 150 lb Pressure Class, 304/304L Stainless Steel, 100 deg F, 1.48 in OD, Import
Standards/Approval:
PROP65: This product can expose you to lead, which is known to the State of California to cause cancer and birth defects or other reproductive harm. For more information go to www.P65Warnings.ca.gov.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.88 in,,,Merit Brass Company,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://vdam.kdsi.net/digital_asset_manager/file_download.php?vi=5768009,,COUP HALF 304 1,,,,,,,,,,,,,,,,,,,,,,,,Merit Brass Company,,,,,,,1.48 in OD,,,,,KI Pattern,,,,,,,671404142469,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,150 lb,,,,Import,,,,,,KP411H-16,,,,,304/304L Stainless Steel,,,,,,,,,,,,,,,,,,,,,,,FNPT,,,,,,,,,,,,,,,,,,,,,,,,,,,Coupling,,,,,,,,,,1 TYPE 304 SS HALF COUPLING,,,,,,,,,,,,,,,,,,,,https://vdam.kdsi.net/digital_asset_manager/image_resize.php?cid=3&ic=COUP%20HALF%20304%201&mdx=300,,,,,,100 deg F,,,
,,,,,,,,,,,,,,3 x 2 in,,,,,,,,,,$26.70,,,,,,,,,,,,,,,,,https://kscdirect.com/item/SPE%2B837-338/Spears_3%2BX%2B2%2BPVC80%2BBUSHING%2BSXS,68,,Piping & Fittings,,,,,,,,,3 X 2 PVC80 BUSHING SXS,,,,,,,,,"Description
Spears® Bushing, Fitting/Connector Type: Bushing, 3 x 2 in Nominal, Spigot x Socket, 2-7/32 in Length, SCH 80/XH, Molded, PVC, Gray, Domestic",,,,,,,,,,,,,,,,,,,,,,,,,,,,,SCH 80/XH,,,,,2-7/32 in,,,Spears,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://vdam.kdsi.net/digital_asset_manager/file_download.php?vi=5447739,,SPE 837-338,,,,,,,,,,,,,,,,,,,,,,,,Spears,,,,,,,,,,,,,,,,,,,054211168271,,,,,,,,,,,,,Molded,,,,,,,,,,,,,,,,,,,,,,,,Domestic,,,,,,837-338,,,,,PVC,,,,,,,,,,,,,,,,,,,,,,,Spigot x Socket,,,,,,,,,,,,,,,,,,,,,,,,,,,Bushing,,Gray,,,,,,,,3 X 2 PVC80 BUSHING SXS,,,,,,,,,,,,,,,,,,,,https://vdam.kdsi.net/digital_asset_manager/image_resize.php?cid=3&ic=SPE%20837-338&mdx=300,,,,,,,,,
,,,,,,,,,,,,,,1-1/2 x 3/4 in,,,,,,,,,,$8.03,,,,,,,,,,,,,,,,,https://kscdirect.com/item/BUSH%2BBLK%2B1-1%252F2X3%252F4/ASC%2BEngineered%2BSolutions_1-1%252F2%2BX%2B3%252F4%2BBLK%2BCI%2B125%2523%2BHEX%2BBUSHING,109,,Piping & Fittings,,,,,,,,,1-1/2 X 3/4 BLK CI 125# HEX BUSHING,,,,,,,,,"Description
Anvil® Pipe Bushing, Hex Head, Fitting/Connector Type: Bushing, 1-1/2 x 3/4 in Nominal, Cast Iron, Black Oxide, Domestic
Features:
Anvil standard and extra heavy cast iron threaded fittings are manufactured in accordance with ASME-B16.4 (except plugs and bushings, ASME B16.14).",,,Black Oxide,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ASC Engineered Solutions,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://vdam.kdsi.net/digital_asset_manager/file_download.php?vi=4131908,,BUSH BLK 1-1/2X3/4,,,,,,,,,,,,,,,,,,,,,,,,ASC Engineered Solutions,,,,,,,,,,,,Hex Head,,,,,,,69029134749,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Domestic,,,,,,0318907482,,,,,Cast Iron,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Bushing,,,,,,,,,,1-1/2 X 3/4 BLK CI 125# HEX BUSHING,,,,,,,,,,,,,,,,,,,,https://vdam.kdsi.net/digital_asset_manager/image_resize.php?cid=3&ic=BUSH%20BLK%201-1%2F2X3%2F4&mdx=300,,,,,,,,,
,,,,,,,,,,,,,,3/8 in,,,,,,,,,,$2.75,,,,,,,,,,,,,,,,,https://kscdirect.com/item/NIP%2BBLK%2B3%252F8X2/ASC%2BEngineered%2BSolutions_3%252F8%2BX%2B2%2BSCH40%2BBLK%2BPIPE%2BNIPPLE,222,,Piping & Fittings,,,,,,,,,3/8 X 2 SCH40 BLK PIPE NIPPLE,,,,,,,,,"Description
Anvil® Pipe Nipple, 3/8 in Nominal Size, 2 in Length, SCH 40/STD, Steel, Black, Domestic
Features:
ASTM A-53 Welded Steel Pipe Material",,,Black,,,,,,,,,,,,,,,,,,,,,,,,,,SCH 40/STD,,,,,2 in,,,ASC Engineered Solutions,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://vdam.kdsi.net/digital_asset_manager/file_download.php?vi=4121835,,NIP BLK 3/8X2,,,,,,,,,,,,,,,,,,,,,,,,ASC Engineered Solutions,,,,,,,,,,,,,,,,,,,64444400073,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Domestic,,,,,,38X2SBN,,,,,Steel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3/8 X 2 SCH40 BLK PIPE NIPPLE,,,,,,,,,,,,,,,,,,,,https://vdam.kdsi.net/digital_asset_manager/image_resize.php?cid=3&ic=NIP%20BLK%203%2F8X2&mdx=300,,,,,,,,,
,,,,,,,,,,,,,,2-1/2 x 2 in,,,,,,,,,,$3.78,,,,,,,,,,,,,,,,,https://kscdirect.com/item/SPE%2B437-292/Spears_2-1%252F2%2BX%2B2%2BPVC40%2BBUSHING%2BSXS,131,,Piping & Fittings,,,,,,,,,2-1/2 X 2 PVC40 BUSHING SXS,,,,,,,,,"Description
Spears® 437-292, Bushing Fitting/Connector, 2-1/2 x 2 in Nominal, Spigot x Socket End Style, 2-1/16 in Length, SCH 40/STD Schedule, Molded Method of Manufacture, PVC, White, 140 deg F, Domestic/Import: Domestic
Features:
Exceptional chemical and corrosion resistance
High temperature ratings
Lower installation costs
Higher flow capacity
Additional fabricated configurations through 36 in
Advanced design specialty fittings
Standards/Approval:
ASTM D1784
ASTM D2466
NSF Approved",,,,,,,,,,,,,,,,,,,,,,,,,,,,,SCH 40/STD,,,,,2-1/16 in,,,Spears,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://vdam.kdsi.net/digital_asset_manager/file_download.php?vi=5424661,,SPE 437-292,,,,,,,,,,,,,,,,,,,,,,,,Spears,,,,,,,,,,,,,,,,,,,054211163092,,,,,,,,,,,,,Molded,,,,,,,,,,,,,,,,,,,,,,,,Domestic,,,,,,437-292,,,,,PVC,,,,,,,,,,,,,,,,,,,,,,,Spigot x Socket,,,,,,,,,,,,,,,,,,,,,,,,,,,Bushing,,White,,,,,,,,2-1/2 X 2 PVC40 BUSHING SXS,,,,,,,,,,,,,,,,,,,,https://vdam.kdsi.net/digital_asset_manager/image_resize.php?cid=3&ic=SPE%20437-292&mdx=300,,,,,,140 deg F,,,
,,,,,,,,,,,,,,2 x 2 x 1-1/2 in,,,,,,P401,,,,$6.39,,,,,,,,,,,,,,,,,https://kscdirect.com/item/TEE%2BPVCD%2B2X1-1%252F2/Spears_2%2BX%2B2%2BX%2B1-1%252F2%2BPVC-DWV%2BRED%2BTEE%2B%2BP401-251,115,,Piping & Fittings,,,,,,,,,2 X 2 X 1-1/2 PVC-DWV RED TEE  P401-251,,,,,,,,,"Description
Spears® P401-251, P401, Tee Fitting/Connector, 2 x 2 x 1-1/2 in Nominal, Hub End Style, Molded Method of Manufacture, PVC, White, Domestic/Import: Domestic
Standards/Approval:
ASTM D1784
ASTM D2665
ASTM D3311
NSF 14",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Spears,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://vdam.kdsi.net/digital_asset_manager/file_download.php?vi=5535472,,TEE PVCD 2X1-1/2,,,,,,,,,,,,,,,,,,,,,,,,Spears,,,,,,,,,,,,,,,,,,,054211171387,,,,,,,,,,,,,Molded,,,,,,,,,,,,,,,,,,,,,,,,Domestic,,,,,,P401-251,,,,,PVC,,,,,,,,,,,,,,,,,,,,,,,Hub,,,,,,,,,,,,,,,,,,,,,,,,,,,Tee,,White,,,,,,,,2 X 2 X 1-1/2 PVC-DWV RED TEE  P401-251,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,1/2 in,,,,,,,,,,$3.21,,,,,,,,,,,,,,,,,https://kscdirect.com/item/NIP%2BBRS%2B1%252F2X2/Merit%2BBrass%2BCompany_1%252F2%2BX%2B2%2B2200%2BBRASS%2BPIPE%2BNIPPLE%2B%2B%2B%2B%2B%2B%2B4422340,108,,Piping & Fittings,,,,,,,,,1/2 X 2 2200 BRASS PIPE NIPPLE       4422340,,,,,,,,,"Description
Merit Brass Pipe Nipple, 1/2 in Nominal, MNPT, 2 in Length, SCH 40/STD, Seamless, Brass, Red, Domestic
Standards/Approval:
ASTM B687-88",,,,,,,,,,,,,,,,,,,,,,,,,,,,,SCH 40/STD,,,,,2 in,,,Merit Brass Company,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NIP BRS 1/2X2,,,,,,,,,,,,,,,,,,,,,,,,Merit Brass Company,,,,,,,,,,,,,,,,,,,671404071134,,,,,,,,,,,,,Seamless,,,,,,,,,,,,,,,,,,,,,,,,Domestic,,,,,,2008-200,,,,,Brass,,,,,,,,,,,,,,,,,,,,,,,MNPT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Red,,,,,,,,1/2 X 2 2200 BRASS PIPE NIPPLE       4422340,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,3/4 in,,,,,,,,,,$4.41,,,,,,,,,,,,,,,,,https://kscdirect.com/item/NIP%2BBRS%2B3%252F4X2/Merit%2BBrass%2BCompany_3%252F4%2BX%2B2%2B2200%2BBRASS%2BPIPE%2BNIPPLE%2B%2B%2B%2B%2B%2B%2B4422357,81,,Piping & Fittings,,,,,,,,,3/4 X 2 2200 BRASS PIPE NIPPLE       4422357,,,,,,,,,"Description
Merit Brass Pipe Nipple, 3/4 in Nominal, MNPT, 2 in Length, SCH 40/STD, Seamless, Brass, Red, Domestic
Standards/Approval:
ASTM B687-88",,,,,,,,,,,,,,,,,,,,,,,,,,,,,SCH 40/STD,,,,,2 in,,,Merit Brass Company,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NIP BRS 3/4X2,,,,,,,,,,,,,,,,,,,,,,,,Merit Brass Company,,,,,,,,,,,,,,,,,,,671404071370,,,,,,,,,,,,,Seamless,,,,,,,,,,,,,,,,,,,,,,,,Domestic,,,,,,2012-200,,,,,Brass,,,,,,,,,,,,,,,,,,,,,,,MNPT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Red,,,,,,,,3/4 X 2 2200 BRASS PIPE NIPPLE       4422357,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,1 x 3/4 in,,,,,,FIG 383,,,,$8.62,,,,,,,,,,,,,,,,,https://kscdirect.com/item/BUSH%2BGAL%2B1X3%252F4/ASC%2BEngineered%2BSolutions_1%2BX%2B3%252F4%2BGALV%2BMI%2B125%2523%2BHEX%2BBUSHING,161,,Piping & Fittings,,,,,,,,,1 X 3/4 GALV MI 125# HEX BUSHING,,,,,,,,,"Description
Anvil® Pipe Bushing, Hex Head, Series: FIG 383, Bushing Fitting/Connector, 1 x 3/4 in Nominal, MNPT x FNPT End Style, 150 lb Pressure Class, 300 psi Pressure, Cast Iron, Galvanized, -20 to 150 deg F, Domestic/Import: Domestic
Features:
Malleable iron pipe fittings hold two different pipe parts together and direct  gas and liquid movement.
Standards/Approval:
ASME B16.3
cULus Listed
FM Approved
NSF/ANSI 61",,,Galvanized,,,,,,,,,,,,,,,,,,,,300 psi,,,,,,,,,,,,,,ASC Engineered Solutions,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://vdam.kdsi.net/digital_asset_manager/file_download.php?vi=4180063,,BUSH GAL 1X3/4,,,,,,,,,,,,,,,,,,,,,,,,ASC Engineered Solutions,,,,,,,,,,,,Hex Head,,,,,,,69029134774,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,150 lb,,,,Domestic,,,,,,0319906640,,,,,Cast Iron,,,,,,,,,,,,,,,,,,,,,,,MNPT x FNPT,,,,,,,,,,,,,,,,,,,,,,,,,,,Bushing,,,,,,,,,,1 X 3/4 GALV MI 125# HEX BUSHING,,,,,,,,,,,,,,,,,,,,https://vdam.kdsi.net/digital_asset_manager/image_resize.php?cid=3&ic=BUSH%20GAL%201X3%2F4&mdx=300,,,,,,-20 to 150 deg F,,,
,,,,,,,,0.191 in,,,,,,1-1/4 in,,,,,,,,,,$1.70,,,,,,,,,,,,,,,,,https://kscdirect.com/item/PIPE%2BPVC80%2BGRAY%2B1-1%252F4/CRESLINE%2BPLASTIC%2BPIPE%2BCOMPANY_1-1%252F4%2BPVC%2BSCH%2B80%2BPLASTIC%2BPIPE%2B-%2BGRAY%2B43065%2B%2B%2BPlain%2BEnd,2262,,Piping & Fittings,,,,,,,,,1-1/4 PVC SCH 80 PLASTIC PIPE - GRAY 43065   Plain End,,,,,,,,,"Description
CRESLINE® Pressure Pipe, 1-1/4 in Nominal, Plain, 1.278 in Inside Dia, 1.66 in Outside Dia, 20 ft Length, 0.191 in Wall Thickness, SCH 80/XH, 520 psi Working, PVC, ASTM D1785, NSF Approved
Features:
4 in expansion or contraction per 1000 ft per 10 deg F temperature change
1.41 specific gravity
7000 psi tensile strength
115 R-scale hardness
450 V/mil dielectric strength
520 psi at 73.4 deg F
Pressure rating is the estimated maximum pressure that water as the medium in the pipe can exert continuously with a high degree of certainty that failure of the pipe will not occur
Applications:
Submersible Pumps, Jet Pumps, Water Service Lines, Farm and Ranch Water Systems, Construction and Excavations, Industrial Application, Irrigation, Swimming Pools, Sprinkler Systems, Well Pipe and Casing, Municipal Water Systems
Standards/Approval:
ASTM D1785
NSF Approved",,,,,,,,,,,,,,,,,,,,,,,,,,,,,SCH 80/XH,,,,,20 ft,,,CRESLINE PLASTIC PIPE COMPANY,,,,,,,,"ASTM D1785, NSF Approved",,,,,,,,,,,,,,,,,,,,,,,https://vdam.kdsi.net/digital_asset_manager/file_download.php?vi=4736145,,PIPE PVC80 GRAY 1-1/4,,,,,,,,,,,,,,,,,,,,,,,,CRESLINE PLASTIC PIPE COMPANY,,,,,,,,,,,,,1.66 in,,,,,,098248430659,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,43065,,,,,PVC,,,,,,,,,,,,,,,,,,,,,,,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1-1/4 PVC SCH 80 PLASTIC PIPE - GRAY 43065   Plain End,,,,,,,,,,,,,,,,,1.278 in,,,,,,,,,,520 psi,,
,,,,,,,,,,,,,,1/4 in,,,,,,,,,,$1.98,,,,,,,,,,,,,,,,,https://kscdirect.com/item/NIP%2B304%2B1%252F4X3/Merit%2BBrass%2BCompany_1%252F4%2BX%2B3%2BSCH%2B40%2BTYPE%2B304%2BSS%2BNIPPLE,236,,Piping & Fittings,,,,,,,,,1/4 X 3 SCH 40 TYPE 304 SS NIPPLE,,,,,,,,,"Description
Merit Brass Pipe Nipple, 1/4 in Nominal, MNPT, 3 in Length, SCH 40/STD, Welded, 304L Stainless Steel, Domestic
Standards/Approval:
ANSI B1.20.1
ASTM A312/SA312/A733",,,,,,,,,,,,,,,,,,,,,,,,,,,,,SCH 40/STD,,,,,3 in,,,Merit Brass Company,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NIP 304 1/4X3,,,,,,,,,,,,,,,,,,,,,,,,Merit Brass Company,,,,,,,,,,,,,,,,,,,671404026424,,,,,,,,,,,,,Welded,,,,,,,,,,,,,,,,,,,,,,,,Domestic,,,,,,4004-300,,,,,304L Stainless Steel,,,,,,,,,,,,,,,,,,,,,,,MNPT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1/4 X 3 SCH 40 TYPE 304 SS NIPPLE,,,,,,,,,,,,,,,,,,,,https://vdam.kdsi.net/digital_asset_manager/image_resize.php?cid=3&ic=NIP%20304%201%2F4X3&mdx=300,,,,,,,,,
