Capacity,Bundle Diameter,Thread Size,Number of Knockouts,Adhesive Material,Color Rendering Index (CRI),Number of Ports,Nominal Discharge Current,Lamp Type,Hub Diameter,Cable Type,Tube Size,Timing Range,Operating Cycles,Number of Lamps,Number of Wires,Roll Length,Manufacturer,Interrupt Rating,Point Size,Box Type,Family,Dimmable,Temperature Range,Cutout,Enclosure,Head Type,Lamp Base,Cord Size,Wall Thickness,Cord Length,Tab Size,Beam Type,Display Type,Packaging Type,Minimum Operating Temperature,Feed Type,Point Type,Thread Type,Designation,Gauge Thickness,Fixture Wattage,Tungsten Rating,Pressure Rating,Color Temperature,Short Circuit Current Rating,TYPE,Tap Quantity,Number of Jaws,Slot Spacing,Drive Type,Nominal Size,Dimensions,Jacket Material,Trip Type,Hub Size,Plug Type,Environmental Conditions,Mounting Orientation,Roll Width,Humidity Range,Tensile Strength,Schedule Rating,End Style,Number of Conductors,Stages Heat,Horsepower,Composition,Adhesion Strength,Overall Length,Total Harmonic Distortion,Cover Type,Barrel Type,Number of Heads,Drive Size,Grade,Series,Duct Diameter,Specific Gravity,Housing Width,Length,Type,Flange Width,Price,Outside Diameter,Minimum Starting Temperature,Voltage Rating,Fixture Type,Knockout Size,Tongue Size,Supplier,Actuator,Power Source,Hole Size,Grille Length,Hex Size,Motion Sensing,Gauge,Tap Size,Stud Size,Bar Length,Conductor Size,UPC,Light Color,Start Type,Container Size,Electrical Ratings,Pipe Size,Specifications,Standard Pack,Lock Mechanism,Wire Type,Light Output,Cable Size,Action,Number of Hubs,Number of Gangs,Size,Module Type,Flange Thickness,Rod Size,Spring Type,Sensor Type,Grit,Housing Height,Bolt Hole Size,Contact Configuration,Wire Size,Fan Motor Wattage,Orientation,Number of Cables,Strands,Number of Outlets,Maximum Operating Temperature,Average Life,Stages Cool,Enclosure Type,Mounting Type,Cable Openings,Material Type,Conductor Material,Receptacle Type,url,On Hand,Method of Manufacture,Resistance,Fitting/Connector Type,Operational Mode,Current/Amps,Category,AC Cable Size,Actuator Type,Insulation Material,Color,Air Flow Rate,Housing Material,Core Diameter,Sones,Specifications Met,Grille Material,Ballast Type,Nipple Type,Slot Size,Ballast Factor,Phase,Number of Poles,NEMA Rating,Trade Size,Power Rating,Insulated/Non-Insulated,Head Size,Contact Form,Lumens,Seal Material,Bolt Circle Diameter,Connection Type,Number of Holes,Angle,Suitable For Use With,Description,Flexibility,Frequency Rating,Coil Voltage,Construction,Main/Run Size,Conductor Type,Title,Legend Color,Diameter,Number of Pieces,Ceiling Opening,Control Range,Flow Rate,Number of Stages,Staple Size,Terminal Type,Operation Mode,Cable Tap,Supplemental Files,Number of Bolt Holes,Recommended Torque,Housing Length,Humidity Sensing,Backing Material,Ballast Load,Terminal Designations,Insulated,Lamp Base Type,Wattage,KSCdirect Part #,Container Type,Cord Diameter,Legend,Thickness,Maximum Steady Load,Depth,Details,Insulation Type,Average Ft,Bend Radius,Length Through Hub,Pressure Class,Connector Type,Cleat Type,Sensitivity,Bar Width,Coating Thickness,Domestic/Import,Differential,Incandescent Equivalent,Inside Diameter,Flammability Rating,Radius,End Connection Type,Measurement System,Mounting,Shell Style,Lamp Wattage,Barrel Size,Peak Surge Current,image,Insulation,Grille Width,Finish,MFG Part #,Abrasive Material,Liner Material,Time Setting,Diameter - Thread Size,Amperage Rating,Lamp Finish,Width,Shape,Jacket Color,Height,Form,Load Capacity,Contact Rating,Hub Type,Control,Housing Finish,Run Size,Flash Point,Dielectric Strength,Cable Entry Size,Material,Fan Switching,Temperature Rating,Thermostat Type,Working Pressure,Class,Lighting Technology,Power Factor,Connection,Odor/Scent,Conduit Size
,,,,,,,,,,,,,,,,,NIBCO INC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3/4 in,,,,,,,,,,,,C x C,,,,,,,,,,,,,633W,,,,,,,$17.17,,,,,,,NIBCO INC,,,,,,,,,,,,039923335821,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://kscdirect.com/item/UNION%2BSWT%2B3%252F4/NIBCO%2BINC_3%252F4%2BSWT%2BUNION%2B%2B%2B%2523633W%2BWC407,255,,,Union,,,Piping & Fittings,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3/4 SWT UNION   #633W WC407,,,,,,,3/4 SWT UNION   #633W WC407,,,,,,,,,,,,https://vdam.kdsi.net/digital_asset_manager/file_download.php?vi=5268064,,,,,,,,,,,UNION SWT 3/4,,,,,,,"Description
NIBCO® Union, Series: 633W, Union, 3/4 in Nominal, C x C, Copper, Domestic
Features:
Dezincification resistant
Material and workmanship per ASME B16.22
NFPA 99 health care facilities gas and vacuum systems and the compressed gas association, pamphlet G4.1 (medical gas)
Applications:
For residential and commercial systems such as potable water, air conditioning and refrigeration
Standards/Approval:
ASME B16.22
ASTM B75 Alloy C12200
MSS SP-104
NSF/ANSI 61/372
NFPA99 and CGA Pamphlet G-4-1
PROP65: This product can expose you to chemicals including Lead, which is known to the State of California to cause cancer and birth defects or other reproductive harm. For more information go to www.P65Warnings.ca.gov
Warranty:
50 years Limited",,,,,,,,,,,Domestic,,,,,,,,,,,,,https://vdam.kdsi.net/digital_asset_manager/image_resize.php?cid=3&ic=UNION%20SWT%203%2F4&mdx=300,,,,9256500,,,,,,,,,,,,,,,,,,,,,Copper,,,,,,,,,,
,,,,,,,,,,,,,,,,,ASC Engineered Solutions,,,,,,,,,,,,,,,,,,,,,,,,,,2000 psi,,,,,,,,1/2 in,,,,,,,,,,,SCH 160,FNPT,,,,,,,,,,,,,FIG 2111,,,,,,,$6.59,,,,,,,ASC Engineered Solutions,,,,,,,,,,,,69029108811,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://kscdirect.com/item/90%2B3000%2BSCR%2B1%252F2/ASC%2BEngineered%2BSolutions_1%252F2%2B3000%2523%2BFS%2BSCREWED%2B90%2BELL,384,Forged,,90 deg Elbow,,,Piping & Fittings,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1/2 3000# FS SCREWED 90 ELL,,,,,,,1/2 3000# FS SCREWED 90 ELL,,,,,,,,,,,,https://vdam.kdsi.net/digital_asset_manager/file_download.php?vi=4158958,,,,,,,,,,,90 3000 SCR 1/2,,,,,,,"Description
Anvil® Pipe Elbow, Series: FIG 2111, Fitting/Connector Type: 90 deg Elbow, 1/2 in Nominal, FNPT, SCH 160, 3000 lb, 2000 psi, Forged, Steel, Black Oxide, -20 to 550 deg F, Domestic
Features:
3000# Forged Steel High Pressure Fitting
Standards/Approval:
ASME B16.11
FM Approved
IAPMO Listed
UL/ULC Listed",,,,,3000 lb,,,,,,Domestic,,,,,,,,,,,,,https://vdam.kdsi.net/digital_asset_manager/image_resize.php?cid=3&ic=90%203000%20SCR%201%2F2&mdx=300,,,Black Oxide,0361100803,,,,,,,,,,,,,,,,,,,,,Steel,,-20 to 550 deg F,,,,,,,,
,,,,,,,,,,,,,,,,,ASC Engineered Solutions,,,,,,,,,,,,,,,,,,,,,,,,,,2000 psi,,,,,,,,1/2 in,0.56 in Square Head,,,,,,,,,,SCH 160,MNPT,,,,,,,,,,,,,FIG 2122,,,,,Square Head,,$1.60,,,,,,,ASC Engineered Solutions,,,,,,,,,,,,69029108990,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://kscdirect.com/item/PLUG%2B3000%2BSCR%2B1%252F2/ASC%2BEngineered%2BSolutions_1%252F2%2B3000%2523%2BFS%2BSCREWED%2BPLUG%2BSQUARE%2BHEAD,346,Forged,,Plug,,,Piping & Fittings,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1/2 3000# FS SCREWED PLUG SQUARE HEAD,,,,,,,1/2 3000# FS SCREWED PLUG SQUARE HEAD,,,,,,,,,,,,https://vdam.kdsi.net/digital_asset_manager/file_download.php?vi=4194432,,,,,,,,,,,PLUG 3000 SCR 1/2,,,,,,,"Description
Anvil® Pipe Plug, Square Head, Series: FIG 2122, Fitting/Connector Type: Plug, 1/2 in Nominal, MNPT, SCH 160, 3000 lb, 2000 psi, Forged, Steel, Black Oxide, -20 to 550 deg F, 0.56 in Square Head, Domestic
Features:
Forged Steel High Pressure Fitting
Standards/Approval:
ASME B16.11
FM Approved
IAPMO Listed
UL/ULC Listed",,,,,3000 lb,,,,,,Domestic,,,,,,,,,,,,,https://vdam.kdsi.net/digital_asset_manager/image_resize.php?cid=3&ic=PLUG%203000%20SCR%201%2F2&mdx=300,,,Black Oxide,0361300809,,,,,,,,,,,,,,,,,,,,,Steel,,-20 to 550 deg F,,,,,,,,
,,,,,,,,,,,,,,,,,ASC Engineered Solutions,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1 in,,,,,,,,,,,SCH 80/XH,,,,,,,,,,,,,,,,,,2 in,,,$6.52,,,,,,,ASC Engineered Solutions,,,,,,,,,,,,64444401177,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://kscdirect.com/item/NIP%2BXH%2B1X2/ASC%2BEngineered%2BSolutions_1%2BX%2B2%2BSCH80%2BBLK%2BPIPE%2BNIPPLE,227,,,,,,Piping & Fittings,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1 X 2 SCH80 BLK PIPE NIPPLE,,,,,,,1 X 2 SCH80 BLK PIPE NIPPLE,,,,,,,,,,,,https://vdam.kdsi.net/digital_asset_manager/file_download.php?vi=4114591,,,,,,,,,,,NIP XH 1X2,,,,,,,"Description
Anvil® Pipe Nipple, 1 in Nominal Size, 2 in Length, SCH 80/XH, Steel, Black, Domestic",,,,,,,,,,,Domestic,,,,,,,,,,,,,https://vdam.kdsi.net/digital_asset_manager/image_resize.php?cid=3&ic=NIP%20XH%201X2&mdx=300,,,Black,1X2XBN,,,,,,,,,,,,,,,,,,,,,Steel,,,,,,,,,,
,,,,,,,,,5.31 in,,,,,,,,WELDBEND CORP,,,,,,,,,,,,,,,,,,,,,,,,,,285 psig,,,,,,,,4 in,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Raised Face,,$41.74,9 in,,,,,,WELDBEND CORP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3/4 in,,,,,,,,,,,,,,,,,https://kscdirect.com/item/FLG%2B150%2BRF%2BTHD%2B4/WELDBEND%2BCORP_4%2BCLASS%2B150%2BRF%2BTHD%2BFLANGE,77,,,,,,Piping & Fittings,,,,,,,,,,,,,,,,,,,,,,,,,7-1/2 in,Thread,,,,4 CLASS 150 RF THD FLANGE,,,,,,,4 CLASS 150 RF THD FLANGE,,,,,,,,,,,,https://vdam.kdsi.net/digital_asset_manager/file_download.php?vi=7864085,8,,,,,,,,,,FLG 150 RF THD 4,,,,0.88 in,,,"Description
Weldbend® Flange, Raised Face, 4 in Nominal, 0.88 in Thickness, 7-1/2 in Diameter Bolt Circle, 8 Bolt Holes, 3/4 in Bolt Hole, Thread Connection, 9 in OD, 285 psig Pressure, 150 lb Pressure Class, -20 to 100 deg F, 5.31 in Diameter Hub, 1-1/4 in Length Through Hub, Forged Carbon Steel, Domestic/Import: Domestic
Standards/Approval:
ASME SA105/B16.5
ASTM A105
Warranty:
1 Year Limited",,,,1-1/4 in,150 lb,,,,,,Domestic,,,,,,,,,,,,,,,,,105140040000,,,,,,,,,,,,,,,,,,,,,Forged Carbon Steel,,-20 to 100 deg F,,,,,,,,
,,,,,,,,,,,,,,,,,Spears,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1-1/2 in,1-29/32 in H,,,,,,,,,,SCH 40/STD,Socket,,,,,,,,,,,,,,,,,2-1/4 in,,,$1.35,,,,,,,Spears,,,,,,,,,,,,054211164136,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://kscdirect.com/item/SPE%2B447-015/Spears_1-1%252F2%2BPVC-40%2BCAP%2BSLIP,312,Molded,,Cap,,,Piping & Fittings,,,,White,,,,,,,,,,,,,,,,,,,,,,,,,,1-1/2 PVC-40 CAP SLIP,,,,,,,1-1/2 PVC-40 CAP SLIP,,,,,,,,,,,,https://vdam.kdsi.net/digital_asset_manager/file_download.php?vi=5508233,,,,,,,,,,,SPE 447-015,,,,,,,"Description
Spears® 447-015, Cap Fitting/Connector, 1-1/2 in Nominal, Socket End Style, 2-1/4 in Length, SCH 40/STD Schedule, Molded Method of Manufacture, PVC, White, 1-29/32 in H Dimensions, Domestic/Import: Domestic
Features:
Exceptional chemical and corrosion resistance
High temperature ratings
Lower installation costs
Higher flow capacity
Additional fabricated configurations through 36 in
Advanced design specialty fittings
Standards/Approval:
ASTM D1784
ASTM D2466
NSF Approved",,,,,,,,,,,Domestic,,,,,,,,,,,,,https://vdam.kdsi.net/digital_asset_manager/image_resize.php?cid=3&ic=SPE%20447-015&mdx=300,,,,447-015,,,,,,,,,,,,,,,,,,,,,PVC,,,,,,,,,,
,,,,,,,,,,,,,,,,,ASC Engineered Solutions,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1 x 1/2 in,,,,,,,,,,,SCH 160,MNPT x FNPT,,,,,,,,,,,,,FIG 2139,,,,,Hex Head,,$4.06,,,,,,,ASC Engineered Solutions,,,,,1.38 in,,,,,,,69029109033,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://kscdirect.com/item/BUSH%2B3000%2BSCR%2B1X1%252F2/ASC%2BEngineered%2BSolutions_1%2BX%2B1%252F2%2B3000%2523%2BFS%2BSCREWED%2BHEX%2BBUSHING,220,Forged,,Bushing,,,Piping & Fittings,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1 X 1/2 3000# FS SCREWED HEX BUSHING,,,,,,,1 X 1/2 3000# FS SCREWED HEX BUSHING,,,,,,,,,,,,https://vdam.kdsi.net/digital_asset_manager/file_download.php?vi=4115999,,,,,,,,,,,BUSH 3000 SCR 1X1/2,,,,,,,"Description
Anvil® Pipe Bushing, Hex Head, Series: FIG 2139, Bushing Fitting/Connector, 1 x 1/2 in Nominal, MNPT x FNPT End Style, 1.38 in Hex, SCH 160 Schedule, 3000 lb Pressure Class, Forged Method of Manufacture, Steel, Black Oxide, Domestic/Import: Domestic
Features:
Forged Steel High Pressure Fitting
Standards/Approval:
ASME B16.11
FM Approved
IAPMO Listed
UL/ULC Listed",,,,,3000 lb,,,,,,Domestic,,,,,,,,,,,,,https://vdam.kdsi.net/digital_asset_manager/image_resize.php?cid=3&ic=BUSH%203000%20SCR%201X1%2F2&mdx=300,,,Black Oxide,0361331309,,,,,,,,,,,,,,,,,,,,,Steel,,,,,,,,,,
,,,,,,,,,,,,,,,,,"IDEAL CLAMP PRODUCTS, INC.",,,,Smooth-Seal J-Series,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,$5.32,,,,,,,"IDEAL CLAMP PRODUCTS, INC.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://kscdirect.com/item/STB%2BHBJS214/IDEAL%2BCLAMP%2BPRODUCTS%252C%2BINC._4-1%252F2X3%252F4%2BJ%2BSERIES%2BSMOOTH%2BPREFORMED%2BSTAINLESS%2BSTEEL%2BCLAMP,303,,,,,,Piping & Fittings,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4-1/2X3/4 J SERIES SMOOTH PREFORMED STAINLESS STEEL CLAMP,,,,,,,4-1/2X3/4 J SERIES SMOOTH PREFORMED STAINLESS STEEL CLAMP,,,,,,,,,,,,,,,,,,,,,,,STB HBJS214,,,,,,,"Strapbiner Smooth-Seal  double wrapped, preformed clamps lock securely and require no hammering. The specially designed inside tab eliminates leak paths common with thin-wall hose.They easily lock under full tension by one lifting movement. Apply the clamps with the ST001 Strapbiner  tool and the HBJ001 adapter. These clamps are not for use with punch type tools.",,,,,,,,,,,,,,,,,,,,,,,,,,,,HBJS214,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,ASC Engineered Solutions,,,,,,,,,,,,,,,,,,,,,,,,,,300 psi,,,,,,,,1-1/2 in,,,,,,,,,,,SCH 40/STD,MNPT x FNPT,,,,,,,,,,,,,FIG 1103,,,,,,,$16.87,,,,,,,ASC Engineered Solutions,,,,,,,,,,,,69029134707,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://kscdirect.com/item/90ST%2BBLK%2B1-1%252F2/ASC%2BEngineered%2BSolutions_1-1%252F2%2BBLK%2BMI%2B150%2523%2B90%2BST%2BELL,85,,,90 deg Elbow,,,Piping & Fittings,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1-1/2 BLK MI 150# 90 ST ELL,,,,,,,1-1/2 BLK MI 150# 90 ST ELL,,,,,,,,,,,,https://vdam.kdsi.net/digital_asset_manager/file_download.php?vi=4207616,,,,,,,,,,,90ST BLK 1-1/2,,,,,,,"Description
Anvil® Straight Street Elbow, Series: FIG 1103, 90 deg Elbow Fitting/Connector, 1-1/2 in Nominal, MNPT x FNPT End Style, SCH 40/STD Schedule, 150 lb Pressure Class, 300 psi Pressure, Malleable Iron, Black Oxide, -20 to 150 deg F, Domestic/Import: Domestic
Features:
Malleable iron pipe fittings hold two different pipe parts together and direct  gas and liquid movement.
Standards/Approval:
ASME B16.3
cULus Listed
FM Approved
NSF/ANSI 61",,,,,150 lb,,,,,,Domestic,,,,,,,,,,,,,https://vdam.kdsi.net/digital_asset_manager/image_resize.php?cid=3&ic=90ST%20BLK%201-1%2F2&mdx=300,,,Black Oxide,0310017009,,,,,,,,,,,,,,,,,,,,,Malleable Iron,,-20 to 150 deg F,,,,,,,,
,,,,,,,,,,,,,,,,,"IDEAL CLAMP PRODUCTS, INC.",,,,Smooth-Seal J-Series,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,$5.75,,,,,,,"IDEAL CLAMP PRODUCTS, INC.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://kscdirect.com/item/STB%2BHBJS215/IDEAL%2BCLAMP%2BPRODUCTS%252C%2BINC._5X3%252F4%2BJ%2BSERIES%2BSMOOTH%2BPREFORMED%2BSTAINLESS%2BSTEEL%2BCLAMP,436,,,,,,Piping & Fittings,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5X3/4 J SERIES SMOOTH PREFORMED STAINLESS STEEL CLAMP,,,,,,,5X3/4 J SERIES SMOOTH PREFORMED STAINLESS STEEL CLAMP,,,,,,,,,,,,,,,,,,,,,,,STB HBJS215,,,,,,,"Strapbiner Smooth-Seal  double wrapped, preformed clamps lock securely and require no hammering. The specially designed inside tab eliminates leak paths common with thin-wall hose.They easily lock under full tension by one lifting movement. Apply the clamps with the ST001 Strapbiner  tool and the HBJ001 adapter. These clamps are not for use with punch type tools.",,,,,,,,,,,,,,,,,,,,,,,,,,,,HBJS215,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,Spears,,,,,,,,,,,,,,,,,,,,,,,,,,150 psi,,,,,,,,3 in,,,,,,,,,,,SCH 80/XH,Socket x MNPT,,,,,,,,,,,,,,,,,3-7/8 in,Standard,,$23.57,,,,,,,Spears,,,,,,,,,,,,054211192962,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://kscdirect.com/item/SPE%2B836-030/Spears_3%2BPVC%2BSCH%2B80%2BMALE%2BADPT,101,Molded,,Adapter,,,Piping & Fittings,,,,Gray,,,,,,,,,,,,,,,,,,,,,,,,,,3 PVC SCH 80 MALE ADPT,,,,,,,3 PVC SCH 80 MALE ADPT,,,,,,,,,,,,https://vdam.kdsi.net/digital_asset_manager/file_download.php?vi=5422140,,,,,,,,,,,SPE 836-030,,,,,,,"Description
Spears® 836-030, Standard, Adapter Fitting/Connector, 3 in Nominal, Socket x MNPT End Style, 3-7/8 in Length, SCH 80 Schedule, 150 psi Pressure, Molded Method of Manufacture, PVC, Gray, Domestic/Import: Domestic
Standards/Approval:
ASTM D1784
ASTM D2467
ANSI B16.5",,,,,,,,,,,Domestic,,,,,,,,,,,,,https://vdam.kdsi.net/digital_asset_manager/image_resize.php?cid=3&ic=SPE%20836-030&mdx=300,,,,836-030,,,,,,,,,,,,,,,,,,,,,PVC,,,,,,,,,,
,,,,,,,,,,,,,,,,,ASC Engineered Solutions,,,,,,,,,,,,,,,,,,,,,,,,,,300 psi,,,,,,,,3/8 x 3/4 in,,,,,,,,,,,,MNPT x FNPT,,,,,,,,,,,,,FIG 383,,,,,Type A Hex Head,,$2.10,,,,,,,ASC Engineered Solutions,,,,,,,,,,,,69029134740,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://kscdirect.com/item/BUSH%2BBLK%2B3%252F4X3%252F8/ASC%2BEngineered%2BSolutions_3%252F4%2BX%2B3%252F8%2BBLK%2BSTEEL%2BHEX%2BBUSHING,440,,,Bushing,,,Piping & Fittings,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3/4 X 3/8 BLK STEEL HEX BUSHING,,,,,,,3/4 X 3/8 BLK STEEL HEX BUSHING,,,,,,,,,,,,https://vdam.kdsi.net/digital_asset_manager/file_download.php?vi=4178096,,,,,,,,,,,BUSH BLK 3/4X3/8,,,,,,,"Description
Anvil® Pipe Bushing, Type A Hex Head, Series: FIG 383, Bushing Fitting/Connector, 3/8 x 3/4 in Nominal, MNPT x FNPT End Style, 150 lb Pressure Class, 300 psi Pressure, Cast Iron, Black Oxide, -20 to 150 deg F, Domestic/Import: Domestic
Features:
Small Steel Fittings to ASME C1215
Standards/Approval:
ASME B16.4/B1.20.1
cULus Listed
FM Approved
NSF/ANSI 61",,,,,150 lb,,,,,,Domestic,,,,,,,,,,,,,https://vdam.kdsi.net/digital_asset_manager/image_resize.php?cid=3&ic=BUSH%20BLK%203%2F4X3%2F8&mdx=300,,,Black Oxide,0318905643,,,,,,,,,,,,,,,,,,,,,Cast Iron,,-20 to 150 deg F,,,,,,,,
,,,,,,,,,,,,,,,,,"IDEAL CLAMP PRODUCTS, INC.",,,,Smooth-Seal J-Series,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,$2.54,,,,,,,"IDEAL CLAMP PRODUCTS, INC.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://kscdirect.com/item/STB%2BHBJS206/IDEAL%2BCLAMP%2BPRODUCTS%252C%2BINC._1-3%252F4X5%252F8%2BJ%2BSERIES%2BSMOOTH%2BPREFORMED%2BSTAINLESS%2BSTEEL%2BCLAMP,296,,,,,,Piping & Fittings,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1-3/4X5/8 J SERIES SMOOTH PREFORMED STAINLESS STEEL CLAMP,,,,,,,1-3/4X5/8 J SERIES SMOOTH PREFORMED STAINLESS STEEL CLAMP,,,,,,,,,,,,,,,,,,,,,,,STB HBJS206,,,,,,,"Strapbiner Smooth-Seal  double wrapped, preformed clamps lock securely and require no hammering. The specially designed inside tab eliminates leak paths common with thin-wall hose.They easily lock under full tension by one lifting movement. Apply the clamps with the ST001 Strapbiner  tool and the HBJ001 adapter. These clamps are not for use with punch type tools.",,,,,,,,,,,,,,,,,,,,,,,,,,,,HBJS206,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,ASC Engineered Solutions,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1/4 in,3/4 in Dia,,,,,,,,,,,FNPT,,,,,,,,,,,,,FIG 2117,,,,1.38 in,,,$3.35,,,,,,,ASC Engineered Solutions,,,,,,,,,,,,69029108882,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://kscdirect.com/item/COUP%2B3000%2BSCR%2B1%252F4/ASC%2BEngineered%2BSolutions_1%252F4%2B3000%2523%2BFS%2BSCREWED%2BCOUP,722,Forged,,Coupling,,,Piping & Fittings,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1/4 3000# FS SCREWED COUP,,,,,,,1/4 3000# FS SCREWED COUP,,,,,,,,,,,,https://vdam.kdsi.net/digital_asset_manager/file_download.php?vi=4118479,,,,,,,,,,,COUP 3000 SCR 1/4,,,,,,,"Description
Anvil® Pipe Coupling, Series: FIG 2117, Fitting/Connector Type: Coupling, 1/4 in Nominal, FNPT, 1.38 in Length, 3000 lb, Forged, Steel, Black Oxide, 3/4 in Dia, Domestic
Features:
3000# Forged Steel High Pressure Fitting
Standards/Approval:
ASME B16.11
FM Approved
IAPMO Listed
UL/ULC Listed",,,,,3000 lb,,,,,,Domestic,,,,,,,,,,,,,https://vdam.kdsi.net/digital_asset_manager/image_resize.php?cid=3&ic=COUP%203000%20SCR%201%2F4&mdx=300,,,Black Oxide,0361155203,,,,,,,,,,,,,,,,,,,,,Steel,,,,,,,,,,
,,,,,,,,,,,1 and 1-1/2 in,,,,,,Sanitube,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Heavy Duty,,$5.98,,,,,,,Sanitube,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://kscdirect.com/item/SAN%2B13MHHM-150/Sanitube_CLAMP%252C%2BSINGLE%2BPIN%252C%2B1%2522-1-1%252F2%2522%252C%2B304SS%252C%2BSANITARY%2B-%2B210-500118,866,,,,,,Piping & Fittings,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"CLAMP, SINGLE PIN, 1""-1-1/2"", 304SS, SANITARY - 210-500118",,,,,,,"CLAMP, SINGLE PIN, 1""-1-1/2"", 304SS, SANITARY - 210-500118",,,,,,,,,,,,,,25 in-lb,,,,,,,,,SAN 13MHHM-150,,,,,,,"Description
Sanitube™ Single Pin Clamp, Heavy Duty, 1 and 1-1/2 in Tube, 25 in-lb Recommended Torque, T304 Stainless Steel
Features:
Pressure ratings assume wing nut tightened to 25 in/lb of torque
500 psi service pressure at 70 deg F/300 psi service pressure at 250 deg F",,,,,,,,,,,,,,,,,,,,,,,,https://vdam.kdsi.net/digital_asset_manager/image_resize.php?cid=3&ic=SAN%2013MHHM-150&mdx=300,,,,13MHHM-100-150,,,,,,,,,,,,,,,,,,,,,T304 Stainless Steel,,,,,,,,,,
